#{"t_start": 1615384293.0759432, "env_id": "calib_env-v0"}
r,l,t
-173.491522,2,3.280088
-160.315351,2,3.287544
-194.561861,2,3.301082
-110.853952,1,3.305319
-634.381568,11,3.340219
-138.018144,2,3.347467
-220.930443,3,3.358628
-149.72314,2,3.372728
-370.667168,5,3.389202
-203.332578,2,3.396611
-305.784528,4,3.409911
-167.834128,2,3.417183
-382.961426,5,3.433439
-497.125722,7,3.463964
-144.412774,2,3.471716
-158.586465,2,3.479058
-975.154088,17,3.538673
-171.394532,2,3.545956
-388.943867,7,3.569654
-133.419435,2,3.577127
-145.04538,1,3.581333
-230.344401,4,3.601047
-106.701642,1,3.605316
-141.296641,1,3.609519
-233.359478,4,3.623093
-135.869318,1,3.627323
-316.339201,5,3.644239
-284.130944,4,3.65778
-103.363387,1,3.662038
-203.110297,2,3.676689
-307.141525,4,3.690748
-114.297296,1,3.695033
-107.00961,1,3.699394
-528.738848,9,3.727994
-134.93084,2,3.735223
-272.067446,3,3.752403
-198.763236,2,3.759992
-118.130893,1,3.764287
-426.636209,5,3.781847
-296.17271,4,3.795668
-139.284985,1,3.800039
-259.121593,4,3.813479
-200.375454,2,3.828621
-133.961978,1,3.833144
-103.970398,1,3.837447
-307.391457,4,3.851408
-181.519901,2,3.859437
-102.645478,1,3.863693
-171.197794,2,3.871296
-113.673054,1,3.875483
-114.053187,1,3.880095
-140.048919,1,3.884907
-462.815071,6,3.911739
-311.645024,5,3.92783
-102.727242,1,3.932128
-256.444842,4,3.945336
-152.6329,2,3.952751
-232.587951,3,3.963305
-394.930154,8,3.996145
-239.540615,5,4.013367
-375.178007,5,4.029805
-110.197742,1,4.034012
-143.829745,1,4.038603
-157.21218,2,4.045911
-278.246806,3,4.064574
-342.911356,4,4.082364
-111.901364,1,4.086902
-112.531668,1,4.091324
-301.314407,3,4.10231
-204.85007,3,4.112865
-319.111316,5,4.129316
-169.946245,2,4.136519
-291.181245,5,4.159437
-197.468598,2,4.16709
-213.980842,4,4.180696
-101.048615,1,4.185077
-533.214055,9,4.22211
-210.491151,3,4.232543
-130.12426,2,4.23991
-119.835015,1,4.244111
-196.420103,2,4.251672
-204.015135,3,4.262138
-107.520053,1,4.266369
-100.543275,1,4.271056
-355.183689,5,4.287449
-246.481366,3,4.304489
-298.274801,3,4.314897
-192.88262,3,4.326007
-227.119922,2,4.333389
-313.636018,4,4.347247
-105.359146,1,4.351811
-108.963652,1,4.356038
-113.619693,1,4.360331
-286.097372,4,4.392406
-386.485059,5,4.40946
-133.72729,1,4.413665
-358.456067,4,4.427051
-182.02393,2,4.434754
-173.540569,2,4.442528
-100.87074,1,4.44679
-138.777492,2,4.454861
-247.465269,4,4.486109
-108.615989,1,4.490732
-164.214347,2,4.498098
-112.175507,1,4.502624
-106.286213,1,4.506926
-108.059405,1,4.511287
-114.296244,1,4.515564
-102.465273,1,4.519816
-366.261203,5,4.537326
-379.585925,7,4.577229
-146.428894,1,4.581375
-127.787954,2,4.588623
-104.82619,1,4.592764
-428.373421,6,4.611907
-102.389881,1,4.616107
-243.015891,4,4.629285
-245.569818,3,4.641099
-109.71223,1,4.663459
-278.775268,4,4.676888
-617.575573,9,4.705203
-133.074239,1,4.70995
-177.545671,2,4.717244
-429.16085,6,4.744383
-206.951814,2,4.752005
-272.743629,4,4.765609
-112.083564,1,4.769967
-494.518019,7,4.792405
-322.191239,4,4.81243
-348.812259,5,4.828768
-117.523827,1,4.83299
-583.029797,8,4.859752
-354.729605,6,4.885838
-128.36086,2,4.893227
-429.253637,5,4.909888
-401.132423,9,4.939045
-280.148757,3,4.949483
-169.670255,2,4.964433
-488.240608,7,5.00124
-325.160342,4,5.023009
-472.620481,7,5.046488
-792.917259,12,5.091935
-378.579542,6,5.111366
-370.134244,4,5.131731
-363.047566,6,5.151064
-109.960479,1,5.155433
-106.006519,1,5.159784
-252.597377,4,5.173984
-174.286407,2,5.18149
-167.825913,3,5.192061
-707.297673,11,5.234038
-260.110842,4,5.247396
-105.995202,1,5.251755
-119.568874,1,5.255988
-167.186647,2,5.263747
-315.847546,5,5.286978
-285.147373,4,5.300112
-166.229988,2,5.307389
-117.34083,1,5.311654
-115.930575,1,5.315835
-168.875915,2,5.323017
-104.239289,1,5.327232
-174.966277,2,5.334933
-163.870621,2,5.342883
-579.240933,7,5.373343
-325.480446,5,5.389992
-105.570012,1,5.394253
-174.90181,2,5.401414
-107.767775,1,5.405652
-113.807989,1,5.409806
-405.626651,6,5.435411
-102.109113,1,5.440391
-132.915843,2,5.447772
-427.943757,5,5.468057
-289.654855,3,5.478799
-110.241394,1,5.483248
-150.865581,2,5.490745
-379.115023,5,5.50719
-165.328417,2,5.521094
-101.058274,1,5.525388
-376.42891,5,5.542487
-143.502012,2,5.54969
-254.163153,3,5.560931
-219.210771,2,5.568467
-326.313773,5,5.585527
-134.696509,1,5.596156
-123.569755,1,5.600377
-350.739791,6,5.619416
-288.544644,4,5.643454
-261.827929,4,5.661363
-357.141624,4,5.674767
-189.410404,2,5.689258
-440.13903,9,5.717926
-305.269122,4,5.731023
-288.933141,4,5.743963
-205.791548,2,5.758758
-237.27317,4,5.772237
-210.483263,3,5.782804
-238.854156,4,5.796859
-294.565048,4,5.810556
-299.20118,3,5.820877
-104.437495,1,5.825127
-496.368073,6,5.852774
-222.794965,3,5.864397
-129.702325,1,5.868802
-154.712897,3,5.879383
-140.768964,1,5.883845
-164.534979,2,5.891679
-329.487326,4,5.905187
-115.920246,1,5.916107
-103.800258,1,5.920462
-126.296491,1,5.924792
-232.112298,4,5.938349
-212.130697,2,5.945557
-321.817259,4,5.959019
-109.23657,1,5.96387
-539.144843,8,5.997379
-100.728205,1,6.001746
-106.87423,1,6.006587
-250.846447,3,6.017105
-287.982112,3,6.027629
-136.642418,2,6.035123
-436.039546,7,6.05988
-146.519705,1,6.064625
-102.691467,1,6.075171
-118.583425,1,6.07954
-107.840746,1,6.08385
-373.620334,5,6.101367
-102.21157,1,6.106291
-233.481625,3,6.11671
-438.211137,5,6.133208
-214.067857,3,6.144152
-120.357635,1,6.155106
-467.288706,9,6.184236
-104.864761,1,6.188603
-179.306193,2,6.196383
-325.964201,4,6.21054
-117.36668,1,6.214854
-125.434517,1,6.219304
-232.519668,4,6.239658
-121.783572,1,6.243897
-248.718266,5,6.261354
-319.471058,4,6.275021
-119.066007,1,6.279378
-145.907092,2,6.286732
-364.174701,5,6.309967
-209.712535,3,6.320958
-174.836011,3,6.331381
-181.822436,2,6.338996
-250.948549,3,6.349463
-182.285615,2,6.356799
-736.909201,10,6.394828
-157.770451,2,6.402533
-119.933078,1,6.407079
-142.980475,2,6.414315
