,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,0.019940052964244382,2021-04-23 13:09:16.747465,2021-04-23 13:11:43.532430,0 days 00:02:26.784965,64,10000,0.999,0,-2.7722390558917134,0.00823522968316834,medium,0.02,128,COMPLETE
1,1,0.021651101303539283,2021-04-23 13:11:43.534843,2021-04-23 13:14:07.038185,0 days 00:02:23.503342,64,10000,0.999,0,-2.9145557234642,0.007754008822131313,medium,0.02,128,PRUNED
2,2,0.013034077521695536,2021-04-23 13:14:07.038390,2021-04-23 13:14:59.534198,0 days 00:00:52.495808,64,100000,0.999,20000,-0.46701297704885647,0.8789690184614061,medium,0.05,512,PRUNED
3,3,0.02553101639047932,2021-04-23 13:14:59.534424,2021-04-23 13:17:07.215448,0 days 00:02:07.681024,512,10000,0.9999,0,-3.9425957524609707,0.00045740723143634693,small,0.01,256,PRUNED
4,4,0.02277781335459485,2021-04-23 13:17:07.215689,2021-04-23 13:19:45.978718,0 days 00:02:38.763029,16,1000000,0.99,1000,-2.191607331351232,0.045086608916697364,big,0.02,128,PRUNED
5,5,0.01573748635583034,2021-04-23 13:19:45.978943,2021-04-23 13:20:48.727332,0 days 00:01:02.748389,2048,10000,0.9,10000,-3.703864019871469,1.377260769797605e-05,medium,0.001,8,PRUNED
6,6,0.020042443703451287,2021-04-23 13:20:48.727626,2021-04-23 13:22:46.616111,0 days 00:01:57.888485,128,1000000,0.95,0,-0.9760784580839541,0.00019468117402995333,small,0.005,32,PRUNED
7,7,,2021-04-23 13:22:46.616307,,,256,100000,0.995,0,0.5954143085990906,0.17044970714364743,big,0.02,64,RUNNING
