,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,0.016406388567999607,2021-04-23 13:49:37.123503,2021-04-23 13:52:00.414869,0 days 00:02:23.291366,64,10000,0.999,0,-2.7722390558917134,0.00823522968316834,medium,0.02,128,COMPLETE
1,1,0.01852959770732419,2021-04-23 13:52:00.417166,2021-04-23 13:54:29.077564,0 days 00:02:28.660398,64,10000,0.999,0,-2.9145557234642,0.007754008822131313,medium,0.02,128,PRUNED
2,2,0.016612679766744146,2021-04-23 13:54:29.077769,2021-04-23 13:55:21.717188,0 days 00:00:52.639419,64,100000,0.999,20000,-0.46701297704885647,0.8789690184614061,medium,0.05,512,PRUNED
3,3,0.025900642210328305,2021-04-23 13:55:21.717396,2021-04-23 13:57:29.638454,0 days 00:02:07.921058,512,10000,0.9999,0,-3.9425957524609707,0.00045740723143634693,small,0.01,256,PRUNED
4,4,0.019431915355411677,2021-04-23 13:57:29.638657,2021-04-23 13:59:49.377845,0 days 00:02:19.739188,16,1000000,0.99,1000,-2.191607331351232,0.045086608916697364,big,0.02,128,PRUNED
5,5,0.012180021445505899,2021-04-23 13:59:49.378049,2021-04-23 14:00:41.021834,0 days 00:00:51.643785,2048,10000,0.9,10000,-3.703864019871469,1.377260769797605e-05,medium,0.001,8,PRUNED
6,6,0.015981243692933873,2021-04-23 14:00:41.022034,2021-04-23 14:02:29.837898,0 days 00:01:48.815864,128,1000000,0.95,0,-0.9760784580839541,0.00019468117402995333,small,0.005,32,PRUNED
7,7,0.02703370230566716,2021-04-23 14:02:29.838111,2021-04-23 14:06:56.590321,0 days 00:04:26.752210,256,100000,0.995,0,0.5954143085990906,0.17044970714364743,big,0.02,64,PRUNED
8,8,0.013199707510143337,2021-04-23 14:06:56.590533,2021-04-23 14:07:48.264946,0 days 00:00:51.674413,1024,10000,0.98,10000,-2.200594043225704,0.0029420225179059094,medium,0.02,128,PRUNED
9,9,0.013308261210366212,2021-04-23 14:07:48.265158,2021-04-23 14:09:53.122610,0 days 00:02:04.857452,64,10000,0.999,1000,-3.163073838744432,0.013918299747072153,medium,0.001,16,COMPLETE
10,10,0.012540504628252952,2021-04-23 14:09:53.124899,2021-04-23 14:10:45.256358,0 days 00:00:52.131459,32,100000,0.9999,20000,-1.5953522676812442,0.0007900394005936247,big,0.005,256,PRUNED
11,11,0.016014309661465078,2021-04-23 14:10:45.256565,2021-04-23 14:12:50.151622,0 days 00:02:04.895057,64,10000,0.999,1000,-3.2343822578824106,0.03240020939213796,medium,0.001,16,PRUNED
12,12,0.011870120924502311,2021-04-23 14:12:50.151836,2021-04-23 14:14:49.745511,0 days 00:01:59.593675,64,10000,0.999,1000,-2.73868345553743,0.006820866188388365,medium,0.001,16,PRUNED
13,13,0.022431859154649965,2021-04-23 14:14:49.745708,2021-04-23 14:16:53.031092,0 days 00:02:03.285384,64,10000,0.999,1000,-3.9396627886774276,0.10143076243240645,medium,0.001,16,PRUNED
14,14,0.012626293520287352,2021-04-23 14:16:53.031306,2021-04-23 14:20:12.242974,0 days 00:03:19.211668,512,10000,0.999,1000,-2.2558816526568837,0.002080878607769814,medium,0.01,8,PRUNED
15,15,0.010420109972736569,2021-04-23 14:20:12.243181,2021-04-23 14:22:08.309066,0 days 00:01:56.065885,128,1000000,0.95,0,-3.3375588131129295,0.4315051502848282,small,0.05,16,PRUNED
16,16,0.011389616255646277,2021-04-23 14:22:08.309276,2021-04-23 14:24:21.621377,0 days 00:02:13.312101,32,10000,0.995,0,-1.5212026042781563,6.350736585525753e-05,medium,0.02,128,PRUNED
17,17,0.010553907849452858,2021-04-23 14:24:21.621583,2021-04-23 14:25:15.543079,0 days 00:00:53.921496,16,10000,0.99,20000,-2.5100328571441293,0.023985390389444212,medium,0.001,64,PRUNED
18,18,0.013029432529007366,2021-04-23 14:25:15.543299,2021-04-23 14:26:08.139844,0 days 00:00:52.596545,256,10000,0.9,10000,-3.4461046465731586,0.011705462437228541,medium,0.001,32,PRUNED
19,19,0.019694441059495776,2021-04-23 14:26:08.140052,2021-04-23 14:32:18.208099,0 days 00:06:10.068047,1024,10000,0.98,1000,-1.8081992865483618,0.0012148160273286839,medium,0.02,512,PRUNED
