,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,0.014078247093257432,2021-04-24 18:29:48.589732,2021-04-24 18:34:04.793389,0 days 00:04:16.203657,64,10000,0.999,0,-2.7722390558917134,0.00823522968316834,medium,0.02,128,COMPLETE
1,1,0.015041635557530422,2021-04-24 18:34:04.804274,2021-04-24 18:38:22.862449,0 days 00:04:18.058175,64,10000,0.999,0,-2.9145557234642,0.007754008822131313,medium,0.02,128,PRUNED
2,2,0.011600177960493797,2021-04-24 18:38:22.862749,2021-04-24 18:39:40.085508,0 days 00:01:17.222759,64,100000,0.999,20000,-0.46701297704885647,0.8789690184614061,medium,0.05,512,PRUNED
3,3,0.02632057192302309,2021-04-24 18:39:40.086258,2021-04-24 18:42:39.518065,0 days 00:02:59.431807,512,10000,0.9999,0,-3.9425957524609707,0.00045740723143634693,small,0.01,256,PRUNED
4,4,0.013276207448439378,2021-04-24 18:42:39.518321,2021-04-24 18:46:00.796362,0 days 00:03:21.278041,16,1000000,0.99,1000,-2.191607331351232,0.045086608916697364,big,0.02,128,COMPLETE
