,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
29,29,0.00911027342636277,2021-05-03 18:21:06.349111,2021-05-03 18:42:07.893500,0 days 00:21:01.544389,2048,10000,0.95,0,-1.8910263247719674,0.5379608256515253,medium,0.02,300,PRUNED
30,30,0.008989828144433682,2021-05-03 18:42:07.893729,2021-05-03 18:47:33.561843,0 days 00:05:25.668114,128,10000,0.9,1000,-0.7787467064544505,0.002917697471821269,medium,0.05,100,PRUNED
31,31,0.026446521115833673,2021-05-03 18:47:33.562096,2021-05-03 18:52:53.945815,0 days 00:05:20.383719,64,10000,0.999,0,-0.3534011722424231,0.00895752025539572,medium,0.005,300,PRUNED
32,32,0.03499154423962128,2021-05-03 18:52:53.946038,2021-05-03 18:58:16.690637,0 days 00:05:22.744599,64,10000,0.999,0,-0.6032136117624689,0.006785920438796597,medium,0.005,300,PRUNED
33,33,0.11680497333675535,2021-05-03 18:58:16.690853,2021-05-03 19:03:21.701678,0 days 00:05:05.010825,64,10000,0.999,0,-1.6971521073712212,0.019557981281627466,medium,0.005,300,PRUNED
34,34,0.021412954043228283,2021-05-03 19:03:21.701896,2021-05-03 19:07:16.610783,0 days 00:03:54.908887,64,100000,0.9999,0,-1.2816047975152136,0.07785413261915201,small,0.005,300,PRUNED
35,35,0.02568285982813889,2021-05-03 19:07:16.611024,2021-05-03 19:12:35.987277,0 days 00:05:19.376253,16,1000000,0.995,0,-0.05511385045568142,0.006074289391478638,big,0.01,300,PRUNED
36,36,0.053349370054983775,2021-05-03 19:12:35.987495,2021-05-03 19:14:23.301444,0 days 00:01:47.313949,128,10000,0.98,10000,0.3255542826603174,0.0014697568507440995,medium,0.005,10,COMPLETE
37,37,0.010650502829811755,2021-05-03 19:14:23.305371,2021-05-03 19:16:10.189124,0 days 00:01:46.883753,128,10000,0.98,10000,0.7690684011504254,5.627754231286194e-05,medium,0.001,10,PRUNED
38,38,0.01046735086069428,2021-05-03 19:16:10.189336,2021-05-03 19:17:57.657961,0 days 00:01:47.468625,128,10000,0.98,10000,0.31219713958325923,0.0003280431619713082,medium,0.005,10,PRUNED
39,39,0.007787795871717167,2021-05-03 19:17:57.658206,2021-05-03 19:19:44.329755,0 days 00:01:46.671549,128,10000,0.98,10000,-2.4628222353523808,0.00025453874732598626,medium,0.05,10,PRUNED
40,40,0.012834444942961178,2021-05-03 19:19:44.329978,2021-05-03 19:21:31.457926,0 days 00:01:47.127948,1024,10000,0.98,10000,-3.8079232967134953,0.001699416214726566,big,0.02,10,PRUNED
41,41,0.008351055774096398,2021-05-03 19:21:31.458134,2021-05-03 19:23:18.447946,0 days 00:01:46.989812,32,10000,0.9999,10000,0.25196463322401197,0.0009754892684643384,medium,0.005,10,PRUNED
42,42,0.012447707983334931,2021-05-03 19:23:18.448171,2021-05-03 19:25:10.205914,0 days 00:01:51.757743,512,10000,0.999,10000,0.7683015693083415,0.0006700693647083517,medium,0.005,10,PRUNED
43,43,0.008639609530147406,2021-05-03 19:25:10.206131,2021-05-03 19:31:56.001222,0 days 00:06:45.795091,128,10000,0.9999,0,-0.09826823795861506,0.0001757418396834391,medium,0.005,300,PRUNED
44,44,0.007857977983129375,2021-05-03 19:31:56.001484,2021-05-03 19:40:17.425117,0 days 00:08:21.423633,256,10000,0.98,1000,0.9857179275633364,0.5779393328181555,medium,0.005,100,PRUNED
45,45,0.011090047834461542,2021-05-03 19:40:17.425353,2021-05-03 19:42:44.995879,0 days 00:02:27.570526,64,100000,0.995,20000,-0.431702486214111,0.012209488263289686,small,0.05,1,PRUNED
46,46,0.009254524706527946,2021-05-03 19:42:44.996088,2021-05-03 19:50:22.667845,0 days 00:07:37.671757,128,1000000,0.999,0,0.42184112369955695,0.1943586146462575,medium,0.01,300,PRUNED
47,47,0.012786481791808777,2021-05-03 19:50:22.668183,2021-05-03 19:52:44.668807,0 days 00:02:22.000624,256,10000,0.95,10000,-0.8286599223047012,0.0017756407028346505,medium,0.05,10,PRUNED
