#{"t_start": 1631022746.965332, "env_id": "calib_env-v0"}
r,l,t
118.672033,1,429.147267
18.907934,1,844.525445
19.524544,1,1259.361337
18.832307,1,1656.947995
19.044252,1,2039.891493
2.534755,1000,2037.871515
